ANYO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2022;05;03;Alicante/Alacant;063;Dénia;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;>44  ;42
2022;05;03;Alicante/Alacant;014;Alacant/Alicante;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;<25  ;36
2022;05;46;Valencia/València;250;València;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;>44  ;287
2022;05;46;Valencia/València;035;Almussafes;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;82
2022;05;03;Alicante/Alacant;014;Alacant/Alicante;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;417
2022;05;03;Alicante/Alacant;014;Alacant/Alicante;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;H;Hombre;25-44;123
2022;05;03;Alicante/Alacant;047;Calp;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;36
2022;05;03;Alicante/Alacant;059;Crevillent;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;3
2022;05;03;Alicante/Alacant;113;Rojales;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;25-44;3
2022;05;03;Alicante/Alacant;031;Benidorm;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;>44  ;228
2022;05;03;Alicante/Alacant;119;Sant Joan d'Alacant;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;13
2022;05;03;Alicante/Alacant;043;Biar;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;<25  ;1
2022;05;03;Alicante/Alacant;005;Albatera;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;>44  ;2
2022;05;03;Alicante/Alacant;048;Callosa d'en Sarrià;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;>44  ;88
2022;05;03;Alicante/Alacant;113;Rojales;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;25-44;1
2022;05;03;Alicante/Alacant;133;Torrevieja;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;59
2022;05;03;Alicante/Alacant;047;Calp;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;33
2022;05;46;Valencia/València;202;Pobla de Vallbona, la;C ;CONSTRUCCIÓN;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;<25  ;1
2022;05;46;Valencia/València;233;Sollana;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;<25  ;2
2022;05;46;Valencia/València;163;Massalfassar;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;18
2022;05;46;Valencia/València;077;Buñol;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;2
2022;05;12;Castellón/Castelló;040;Castelló de la Plana;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;43
2022;05;12;Castellón/Castelló;138;Vinaròs;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;<25  ;73
2022;05;03;Alicante/Alacant;065;Elx/Elche;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;25-44;39
2022;05;46;Valencia/València;014;Albuixech;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;2
2022;05;46;Valencia/València;102;Quart de Poblet;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;16
2022;05;46;Valencia/València;125;Fortaleny;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;3
2022;05;46;Valencia/València;244;Torrent;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;10
2022;05;03;Alicante/Alacant;014;Alacant/Alicante;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;<25  ;41
2022;05;46;Valencia/València;007;Albal;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;<25  ;7
2022;05;12;Castellón/Castelló;021;Betxí;C ;CONSTRUCCIÓN;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;>44  ;1
2022;05;03;Alicante/Alacant;009;Alcoi/Alcoy;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;28
2022;05;46;Valencia/València;105;Cullera;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;15
2022;05;46;Valencia/València;081;Canals;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;4
2022;05;46;Valencia/València;143;Xeraco;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;21
2022;05;46;Valencia/València;116;Eliana, l';S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;5
2022;05;46;Valencia/València;007;Albal;I ;INDUSTRIA;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;3
2022;05;46;Valencia/València;244;Torrent;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;8
2022;05;46;Valencia/València;169;Mislata;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;5
2022;05;46;Valencia/València;190;Paterna;S ;SERVICIOS;6;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;H;Hombre;25-44;3
