ANYO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2024;02;46;Valencia/València;190;Paterna;C ;CONSTRUCCIÓN;3;Técnicos, profesionales de apoyo;H;Hombre;>44  ;11
2024;02;03;Alicante/Alacant;014;Alacant/Alicante;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;25-44;172
2024;02;12;Castellón/Castelló;135;Vila-real;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;H;Hombre;<25  ;1
2024;02;03;Alicante/Alacant;050;Campello, el;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;10
2024;02;46;Valencia/València;021;Aldaia;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;<25  ;23
2024;02;46;Valencia/València;029;Algemesí;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;<25  ;7
2024;02;46;Valencia/València;250;València;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;H;Hombre;25-44;253
2024;02;46;Valencia/València;250;València;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;<25  ;46
2024;02;46;Valencia/València;021;Aldaia;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;54
2024;02;46;Valencia/València;231;Simat de la Valldigna;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;4
2024;02;03;Alicante/Alacant;089;Monòver/Monóvar;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;2
2024;02;03;Alicante/Alacant;065;Elx/Elche;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;>44  ;37
2024;02;03;Alicante/Alacant;119;Sant Joan d'Alacant;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;3
2024;02;46;Valencia/València;186;Paiporta;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;>44  ;2
2024;02;46;Valencia/València;105;Cullera;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;4
2024;02;46;Valencia/València;214;Riba-roja de Túria;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;22
2024;02;46;Valencia/València;102;Quart de Poblet;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;11
2024;02;46;Valencia/València;110;Xirivella;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;2
2024;02;03;Alicante/Alacant;133;Torrevieja;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;32
2024;02;03;Alicante/Alacant;055;Catral;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;<25  ;6
2024;02;03;Alicante/Alacant;133;Torrevieja;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;11
2024;02;03;Alicante/Alacant;014;Alacant/Alicante;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;H;Hombre;>44  ;62
2024;02;03;Alicante/Alacant;014;Alacant/Alicante;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;25-44;123
2024;02;03;Alicante/Alacant;082;Xàbia/Jávea;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;4
2024;02;03;Alicante/Alacant;009;Alcoi/Alcoy;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;7
2024;02;03;Alicante/Alacant;021;Banyeres de Mariola;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;25-44;9
2024;02;03;Alicante/Alacant;139;Vila Joiosa, la/Villajoyosa;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;6
2024;02;03;Alicante/Alacant;122;Sant Vicent del Raspeig/San Vicente del Raspeig;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;11
2024;02;03;Alicante/Alacant;099;Orihuela;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;59
2024;02;03;Alicante/Alacant;065;Elx/Elche;A ;AGRICULTURA;9;Ocupaciones elementales;M;Mujer;25-44;5
2024;02;03;Alicante/Alacant;044;Bigastro;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;25-44;1
2024;02;46;Valencia/València;184;Ontinyent;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;10
2024;02;46;Valencia/València;017;Alzira;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;H;Hombre;25-44;3
2024;02;46;Valencia/València;131;Gandia;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;36
2024;02;46;Valencia/València;102;Quart de Poblet;I ;INDUSTRIA;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;1
2024;02;46;Valencia/València;190;Paterna;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;31
2024;02;46;Valencia/València;070;Bétera;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;2
2024;02;46;Valencia/València;249;Utiel;I ;INDUSTRIA;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;1
2024;02;46;Valencia/València;063;Benimodo;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;>44  ;4
2024;02;46;Valencia/València;250;València;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;523
2024;02;46;Valencia/València;005;Alaquàs;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;18
2024;02;46;Valencia/València;250;València;C ;CONSTRUCCIÓN;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;>44  ;2
2024;02;46;Valencia/València;110;Xirivella;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;<25  ;21
2024;02;46;Valencia/València;184;Ontinyent;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;14
2024;02;46;Valencia/València;230;Silla;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;<25  ;13
2024;02;46;Valencia/València;029;Algemesí;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;23
2024;02;46;Valencia/València;077;Buñol;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;<25  ;2
2024;02;46;Valencia/València;102;Quart de Poblet;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;16
2024;02;46;Valencia/València;190;Paterna;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;>44  ;22
2024;02;46;Valencia/València;204;Puig de Santa Maria, el;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;>44  ;8
2024;02;03;Alicante/Alacant;019;Aspe;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;6
2024;02;03;Alicante/Alacant;059;Crevillent;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;5
2024;02;03;Alicante/Alacant;133;Torrevieja;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;30
2024;02;46;Valencia/València;139;Guadassuar;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;25-44;2
2024;02;46;Valencia/València;194;Picassent;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;13
2024;02;46;Valencia/València;135;Godella;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;13
2024;02;46;Valencia/València;159;Manises;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;19
2024;02;12;Castellón/Castelló;027;Benicarló;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;>44  ;14
2024;02;12;Castellón/Castelló;009;Almassora;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;5
2024;02;03;Alicante/Alacant;055;Catral;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;4
2024;02;46;Valencia/València;053;Beneixida;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;8
2024;02;46;Valencia/València;111;Chiva;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;2
2024;02;46;Valencia/València;021;Aldaia;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;25-44;14
2024;02;46;Valencia/València;117;Emperador;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;25-44;2
2024;02;03;Alicante/Alacant;128;Teulada;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;4
2024;02;03;Alicante/Alacant;133;Torrevieja;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;11
2024;02;03;Alicante/Alacant;013;Algueña;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;>44  ;1
2024;02;03;Alicante/Alacant;140;Villena;I ;INDUSTRIA;3;Técnicos, profesionales de apoyo;H;Hombre;25-44;1
2024;02;03;Alicante/Alacant;116;Salinas;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;3
