ANYO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2021;09;46;Valencia/València;059;Benifairó de la Valldigna;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;>44  ;5
2021;09;03;Alicante/Alacant;093;Novelda;S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;2
2021;09;03;Alicante/Alacant;099;Orihuela;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;54
2021;09;46;Valencia/València;255;Vilallonga/Villalonga;S ;SERVICIOS; 09;Ocupaciones elementales;H;Hombre;>44  ;6
2021;09;46;Valencia/València;250;València;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;<25  ;306
2021;09;03;Alicante/Alacant;015;Almoradí;I ;INDUSTRIA; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;3
2021;09;03;Alicante/Alacant;088;Monforte del Cid;C ;CONSTRUCCIÓN; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;4
2021;09;03;Alicante/Alacant;014;Alacant/Alicante;C ;CONSTRUCCIÓN; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;32
2021;09;46;Valencia/València;194;Picassent;S ;SERVICIOS; 09;Ocupaciones elementales;H;Hombre;25-44;16
2021;09;03;Alicante/Alacant;013;Algueña;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;>44  ;1
2021;09;46;Valencia/València;254;Venta del Moro;S ;SERVICIOS; 03;Técnicos, profesionales de apoyo;H;Hombre;<25  ;9
2021;09;03;Alicante/Alacant;902;Pilar de la Horadada;I ;INDUSTRIA; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;<25  ;1
2021;09;46;Valencia/València;184;Ontinyent;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;3
2021;09;03;Alicante/Alacant;058;Cox;I ;INDUSTRIA; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2021;09;03;Alicante/Alacant;082;Xàbia/Jávea;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;12
2021;09;46;Valencia/València;213;Requena;A ;AGRICULTURA; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;15
2021;09;03;Alicante/Alacant;094;Nucia, la;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;9
