AÑO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2026;01;46;Valencia/València;132;Genovés, el;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2026;01;12;Castellón/Castelló;050;Coves de Vinromà, les;I ;INDUSTRIA;9;Ocupaciones elementales;M;Mujer;25-44;1
2026;01;46;Valencia/València;126;Foios;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;<25  ;1
2026;01;46;Valencia/València;204;Puig de Santa Maria, el;I ;INDUSTRIA;3;Técnicos, profesionales de apoyo;H;Hombre;>44  ;1
2026;01;46;Valencia/València;078;Burjassot;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;4
2026;01;46;Valencia/València;213;Requena;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;3
2026;01;03;Alicante/Alacant;066;Elda;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2026;01;12;Castellón/Castelló;009;Almassora;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;>44  ;3
2026;01;12;Castellón/Castelló;084;Onda;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;5
2026;01;03;Alicante/Alacant;024;Benejúzar;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;1
2026;01;46;Valencia/València;051;Benaguasil;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;>44  ;1
2026;01;03;Alicante/Alacant;047;Calp;C ;CONSTRUCCIÓN;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;>44  ;1
2026;01;03;Alicante/Alacant;026;Beniarbeig;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;2
2026;01;46;Valencia/València;218;Ròtova;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;1
2026;01;03;Alicante/Alacant;031;Benidorm;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;>44  ;3
2026;01;46;Valencia/València;189;Palomar, el;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;>44  ;1
2026;01;46;Valencia/València;060;Benifaió;C ;CONSTRUCCIÓN;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;<25  ;1
2026;01;46;Valencia/València;186;Paiporta;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;M;Mujer;25-44;3
2026;01;46;Valencia/València;203;Pobla Llarga, la;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;3
2026;01;46;Valencia/València;082;Canet d'En Berenguer;C ;CONSTRUCCIÓN;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;>44  ;1
2026;01;12;Castellón/Castelló;077;Moncofa;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;M;Mujer;25-44;1
2026;01;46;Valencia/València;109;Cheste;I ;INDUSTRIA;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;1
2026;01;12;Castellón/Castelló;053;Chilches/Xilxes;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2026;01;12;Castellón/Castelló;085;Orpesa/Oropesa del Mar;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2026;01;12;Castellón/Castelló;077;Moncofa;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;5
2026;01;12;Castellón/Castelló;089;Peníscola/Peñíscola;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;1
2026;01;03;Alicante/Alacant;019;Aspe;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;2
2026;01;46;Valencia/València;248;Turís;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;2
2026;01;46;Valencia/València;076;Bugarra;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;2
2026;01;03;Alicante/Alacant;090;Mutxamel;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;>44  ;1
2026;01;12;Castellón/Castelló;004;Alcalà de Xivert;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;1
2026;01;46;Valencia/València;246;Tous;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;1
2026;01;46;Valencia/València;178;Nàquera/Náquera;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;2
2026;01;03;Alicante/Alacant;065;Elx/Elche;I ;INDUSTRIA;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;2
2026;01;46;Valencia/València;257;Castelló;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;2
