ANYO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2021;08;46;Valencia/València;159;Manises;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;8
2021;08;46;Valencia/València;250;València;S ;SERVICIOS; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;692
2021;08;46;Valencia/València;220;Sagunt/Sagunto;S ;SERVICIOS; 03;Técnicos, profesionales de apoyo;H;Hombre;25-44;6
2021;08;46;Valencia/València;250;València;S ;SERVICIOS; 03;Técnicos, profesionales de apoyo;H;Hombre;25-44;166
2021;08;46;Valencia/València;250;València;S ;SERVICIOS; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;<25  ;436
2021;08;46;Valencia/València;230;Silla;I ;INDUSTRIA; 04;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;>44  ;2
2021;08;46;Valencia/València;003;Atzeneta d'Albaida;I ;INDUSTRIA; 04;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;<25  ;1
2021;08;46;Valencia/València;250;València;A ;AGRICULTURA; 09;Ocupaciones elementales;M;Mujer;25-44;9
2021;08;46;Valencia/València;178;Nàquera/Náquera;S ;SERVICIOS; 09;Ocupaciones elementales;H;Hombre;25-44;5
2021;08;46;Valencia/València;013;Alboraia/Alboraya;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;10
2021;08;46;Valencia/València;017;Alzira;S ;SERVICIOS; 09;Ocupaciones elementales;M;Mujer;25-44;73
2021;08;46;Valencia/València;204;Puig de Santa Maria, el;S ;SERVICIOS; 09;Ocupaciones elementales;M;Mujer;<25  ;10
2021;08;46;Valencia/València;250;València;S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;<25  ;225
2021;08;46;Valencia/València;184;Ontinyent;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;<25  ;29
2021;08;46;Valencia/València;017;Alzira;I ;INDUSTRIA; 09;Ocupaciones elementales;M;Mujer;25-44;36
2021;08;46;Valencia/València;220;Sagunt/Sagunto;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;<25  ;5
2021;08;46;Valencia/València;250;València;S ;SERVICIOS; 03;Técnicos, profesionales de apoyo;H;Hombre;25-44;61
2021;08;46;Valencia/València;109;Cheste;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;23
2021;08;46;Valencia/València;214;Riba-roja de Túria;C ;CONSTRUCCIÓN; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;3
2021;08;46;Valencia/València;256;Vilamarxant;S ;SERVICIOS; 09;Ocupaciones elementales;H;Hombre;25-44;1
2021;08;03;Alicante/Alacant;065;Elx/Elche;S ;SERVICIOS; 09;Ocupaciones elementales;H;Hombre;>44  ;68
2021;08;03;Alicante/Alacant;058;Cox;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;25-44;30
2021;08;03;Alicante/Alacant;021;Banyeres de Mariola;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;10
2021;08;03;Alicante/Alacant;031;Benidorm;S ;SERVICIOS; 02;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;20
2021;08;03;Alicante/Alacant;121;Santa Pola;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;17
2021;08;12;Castellón/Castelló;138;Vinaròs;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;15
2021;08;03;Alicante/Alacant;104;Petrer;I ;INDUSTRIA; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;25-44;4
2021;08;03;Alicante/Alacant;099;Orihuela;S ;SERVICIOS; 03;Técnicos, profesionales de apoyo;M;Mujer;25-44;9
2021;08;12;Castellón/Castelló;032;Borriana/Burriana;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;22
2021;08;12;Castellón/Castelló;135;Vila-real;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;24
2021;08;12;Castellón/Castelló;021;Betxí;S ;SERVICIOS; 03;Técnicos, profesionales de apoyo;M;Mujer;<25  ;1
