ANYO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2024;01;03;Alicante/Alacant;014;Alacant/Alicante;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;<25  ;217
2024;01;03;Alicante/Alacant;099;Orihuela;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;18
2024;01;03;Alicante/Alacant;024;Benejúzar;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;13
2024;01;03;Alicante/Alacant;044;Bigastro;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;8
2024;01;12;Castellón/Castelló;009;Almassora;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;10
2024;01;46;Valencia/València;153;Llocnou de Sant Jeroni;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;2
2024;01;12;Castellón/Castelló;012;Altura;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;25-44;2
2024;01;12;Castellón/Castelló;021;Betxí;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;>44  ;20
2024;01;12;Castellón/Castelló;135;Vila-real;S ;SERVICIOS;6;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;M;Mujer;25-44;5
2024;01;12;Castellón/Castelló;040;Castelló de la Plana;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;>44  ;35
2024;01;03;Alicante/Alacant;122;Sant Vicent del Raspeig/San Vicente del Raspeig;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;M;Mujer;25-44;16
2024;01;03;Alicante/Alacant;058;Cox;A ;AGRICULTURA;9;Ocupaciones elementales;M;Mujer;25-44;12
2024;01;12;Castellón/Castelló;032;Borriana/Burriana;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;11
2024;01;03;Alicante/Alacant;058;Cox;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;14
2024;01;03;Alicante/Alacant;031;Benidorm;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;163
2024;01;46;Valencia/València;035;Almussafes;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;31
2024;01;46;Valencia/València;230;Silla;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;14
2024;01;46;Valencia/València;220;Sagunt/Sagunto;C ;CONSTRUCCIÓN;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2024;01;46;Valencia/València;214;Riba-roja de Túria;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;75
2024;01;03;Alicante/Alacant;099;Orihuela;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;44
2024;01;46;Valencia/València;017;Alzira;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;63
2024;01;46;Valencia/València;019;Alcúdia, l';A ;AGRICULTURA;6;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;H;Hombre;<25  ;5
2024;01;46;Valencia/València;250;València;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;<25  ;10
2024;01;46;Valencia/València;017;Alzira;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;15
2024;01;46;Valencia/València;054;Benetússer;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;3
2024;01;46;Valencia/València;116;Eliana, l';S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;6
2024;01;46;Valencia/València;145;Xàtiva;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;40
2024;01;46;Valencia/València;035;Almussafes;I ;INDUSTRIA;3;Técnicos, profesionales de apoyo;M;Mujer;>44  ;11
2024;01;46;Valencia/València;178;Nàquera/Náquera;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;1
2024;01;46;Valencia/València;171;Moncada;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;23
2024;01;03;Alicante/Alacant;063;Dénia;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;2
2024;01;03;Alicante/Alacant;014;Alacant/Alicante;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;25-44;15
2024;01;03;Alicante/Alacant;903;Montesinos, los;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;>44  ;23
2024;01;03;Alicante/Alacant;139;Vila Joiosa, la/Villajoyosa;A ;AGRICULTURA;6;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;H;Hombre;25-44;3
2024;01;03;Alicante/Alacant;099;Orihuela;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;<25  ;1
2024;01;03;Alicante/Alacant;904;San Isidro;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;1
2024;01;12;Castellón/Castelló;012;Altura;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;1
2024;01;12;Castellón/Castelló;084;Onda;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;25-44;3
2024;01;46;Valencia/València;165;Massanassa;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;4
2024;01;46;Valencia/València;184;Ontinyent;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;6
2024;01;46;Valencia/València;220;Sagunt/Sagunto;S ;SERVICIOS;6;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;H;Hombre;<25  ;1
2024;01;46;Valencia/València;007;Albal;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;4
2024;01;46;Valencia/València;097;Cofrentes;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;2
2024;01;46;Valencia/València;163;Massalfassar;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;25-44;1
2024;01;46;Valencia/València;116;Eliana, l';S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;<25  ;3
2024;01;46;Valencia/València;003;Atzeneta d'Albaida;I ;INDUSTRIA;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;2
2024;01;46;Valencia/València;093;Catadau;S ;SERVICIOS;3;Técnicos, profesionales de apoyo;M;Mujer;25-44;6
2024;01;03;Alicante/Alacant;056;Cocentaina;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;3
2024;01;03;Alicante/Alacant;065;Elx/Elche;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;18
2024;01;03;Alicante/Alacant;122;Sant Vicent del Raspeig/San Vicente del Raspeig;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;9
2024;01;12;Castellón/Castelló;135;Vila-real;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;13
2024;01;12;Castellón/Castelló;117;Torreblanca;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;>44  ;2
2024;01;12;Castellón/Castelló;027;Benicarló;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;>44  ;3
2024;01;03;Alicante/Alacant;902;Pilar de la Horadada;A ;AGRICULTURA;9;Ocupaciones elementales;M;Mujer;25-44;5
2024;01;03;Alicante/Alacant;031;Benidorm;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;15
2024;01;03;Alicante/Alacant;095;Ondara;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;22
2024;01;46;Valencia/València;107;Chella;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2024;01;46;Valencia/València;015;Alcàsser;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;1
2024;01;46;Valencia/València;213;Requena;A ;AGRICULTURA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2024;01;03;Alicante/Alacant;119;Sant Joan d'Alacant;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;<25  ;25
2024;01;46;Valencia/València;021;Aldaia;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;25-44;17
2024;01;46;Valencia/València;131;Gandia;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;25-44;45
2024;01;46;Valencia/València;200;Pobla del Duc, la;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;2
2024;01;03;Alicante/Alacant;119;Sant Joan d'Alacant;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;8
2024;01;46;Valencia/València;035;Almussafes;I ;INDUSTRIA;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;>44  ;2
2024;01;12;Castellón/Castelló;126;Vall d'Uixó, la;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;<25  ;4
2024;01;03;Alicante/Alacant;009;Alcoi/Alcoy;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;<25  ;1
2024;01;03;Alicante/Alacant;105;Pinós, el/Pinoso;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;3
2024;01;46;Valencia/València;248;Turís;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2024;01;46;Valencia/València;015;Alcàsser;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;2
2024;01;46;Valencia/València;060;Benifaió;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;>44  ;8
2024;01;46;Valencia/València;204;Puig de Santa Maria, el;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;1
2024;01;03;Alicante/Alacant;019;Aspe;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;7
2024;01;03;Alicante/Alacant;904;San Isidro;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2024;01;12;Castellón/Castelló;138;Vinaròs;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;<25  ;4
