ANYO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2021;04;46;Valencia/València;178;Nàquera/Náquera;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;21
2021;04;46;Valencia/València;250;València;S ;SERVICIOS; 02;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;226
2021;04;46;Valencia/València;017;Alzira;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;<25  ;211
2021;04;12;Castellón/Castelló;094;Pobla de Tornesa, la;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;6
2021;04;46;Valencia/València;021;Aldaia;S ;SERVICIOS; 09;Ocupaciones elementales;H;Hombre;>44  ;332
2021;04;46;Valencia/València;035;Almussafes;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;64
2021;04;03;Alicante/Alacant;056;Cocentaina;I ;INDUSTRIA; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2021;04;46;Valencia/València;250;València;S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;>44  ;143
2021;04;12;Castellón/Castelló;112;Todolella;I ;INDUSTRIA; 03;Técnicos, profesionales de apoyo;H;Hombre;25-44;1
2021;04;46;Valencia/València;105;Cullera;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;<25  ;44
2021;04;03;Alicante/Alacant;105;Pinós, el/Pinoso;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;12
2021;04;46;Valencia/València;250;València;C ;CONSTRUCCIÓN; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;231
2021;04;03;Alicante/Alacant;099;Orihuela;C ;CONSTRUCCIÓN; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;24
2021;04;03;Alicante/Alacant;066;Elda;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;13
2021;04;12;Castellón/Castelló;084;Onda;I ;INDUSTRIA; 03;Técnicos, profesionales de apoyo;H;Hombre;>44  ;6
2021;04;03;Alicante/Alacant;049;Callosa de Segura;S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;1
2021;04;46;Valencia/València;177;Museros;S ;SERVICIOS; 09;Ocupaciones elementales;H;Hombre;>44  ;10
2021;04;46;Valencia/València;120;Estivella;S ;SERVICIOS; 01;Directores y gerentes;H;Hombre;<25  ;3
2021;04;46;Valencia/València;035;Almussafes;I ;INDUSTRIA; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;36
2021;04;46;Valencia/València;019;Alcúdia, l';S ;SERVICIOS; 03;Técnicos, profesionales de apoyo;H;Hombre;25-44;2
2021;04;46;Valencia/València;022;Alfafar;S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;8
2021;04;46;Valencia/València;190;Paterna;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;44
2021;04;46;Valencia/València;181;Oliva;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;>44  ;11
2021;04;46;Valencia/València;017;Alzira;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;64
2021;04;46;Valencia/València;014;Albuixech;I ;INDUSTRIA; 02;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;2
2021;04;46;Valencia/València;011;Alberic;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;8
2021;04;46;Valencia/València;105;Cullera;S ;SERVICIOS; 02;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;6
2021;04;46;Valencia/València;159;Manises;S ;SERVICIOS; 09;Ocupaciones elementales;M;Mujer;25-44;13
2021;04;46;Valencia/València;190;Paterna;S ;SERVICIOS; 02;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;52
2021;04;46;Valencia/València;214;Riba-roja de Túria;S ;SERVICIOS; 09;Ocupaciones elementales;M;Mujer;25-44;47
2021;04;46;Valencia/València;190;Paterna;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;29
