AÑO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2026;03;12;Castellón/Castelló;130;Villahermosa del Río;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;>44  ;2
2026;03;46;Valencia/València;244;Torrent;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;<25  ;1
2026;03;46;Valencia/València;186;Paiporta;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;4
2026;03;03;Alicante/Alacant;023;Beneixama;I ;INDUSTRIA;3;Técnicos, profesionales de apoyo;H;Hombre;25-44;3
2026;03;03;Alicante/Alacant;064;Dolores;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;6
2026;03;12;Castellón/Castelló;121;Traiguera;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;25-44;1
2026;03;46;Valencia/València;136;Godelleta;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;1
2026;03;46;Valencia/València;146;Xeresa;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;1
2026;03;46;Valencia/València;006;Albaida;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;>44  ;5
2026;03;46;Valencia/València;147;Llíria;S ;SERVICIOS;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;7
2026;03;03;Alicante/Alacant;058;Cox;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2026;03;46;Valencia/València;051;Benaguasil;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;>44  ;3
2026;03;03;Alicante/Alacant;071;Gata de Gorgos;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;1
2026;03;03;Alicante/Alacant;034;Benijófar;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;1
2026;03;03;Alicante/Alacant;031;Benidorm;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;6
2026;03;12;Castellón/Castelló;004;Alcalà de Xivert;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;<25  ;2
2026;03;12;Castellón/Castelló;073;Ludiente;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;1
2026;03;46;Valencia/València;260;Vinalesa;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;2
2026;03;46;Valencia/València;233;Sollana;S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;4
2026;03;46;Valencia/València;184;Ontinyent;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;<25  ;1
2026;03;46;Valencia/València;181;Oliva;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;1
2026;03;03;Alicante/Alacant;053;Castalla;C ;CONSTRUCCIÓN;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;4
2026;03;03;Alicante/Alacant;065;Elx/Elche;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;25-44;5
2026;03;03;Alicante/Alacant;083;Xixona/Jijona;I ;INDUSTRIA;4;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;1
2026;03;46;Valencia/València;060;Benifaió;A ;AGRICULTURA;9;Ocupaciones elementales;H;Hombre;>44  ;1
2026;03;46;Valencia/València;214;Riba-roja de Túria;S ;SERVICIOS;2;Técnicos y profesionales científicos e intelectuales;H;Hombre;>44  ;11
